duration,rms_energy,max_amplitude,dynamic_range,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_bandwidth_mean,zero_crossing_rate_mean,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,chroma_mean,chroma_std,tempo,instrument,file_path,file_name
8.1,0.06531963,0.5479126,1.0577393,1827.0555881467897,605.121637763859,2747.7662881670844,2820.0213909606314,0.04265115732449857,-498.69812,62.315674,84.99151,19.132828,9.467633,38.456833,1.2223932,7.1190405,1.9415857,6.808956,4.954778,9.389905,3.6129336,5.507561,-5.791672,12.295635,-4.1616435,10.835083,0.061742745,7.968462,-0.690931,6.83699,-1.1811321,4.602398,1.0817927,4.217623,0.5161134,0.3037555,[53.83300781],khean-ss1,dataset\khean-ss1\Recording_164.wav,Recording_164.wav
6.8,0.10582981,0.70474243,1.3744812,1769.8351797885161,646.7441562209144,2676.731481975256,2333.4913689250725,0.048142364814419795,-446.3427,86.32451,87.024254,21.660683,-16.735865,51.356262,2.616401,7.6773834,-1.7797929,7.442403,-0.47753438,8.911011,1.7973433,4.2394147,-11.857524,12.647763,-9.021611,10.565594,-7.624075,10.854374,-7.3605714,10.147792,-7.70927,9.115408,-5.8217006,7.906072,0.41569895,0.32833686,[143.5546875],khean-ss1,dataset\khean-ss1\Recording_165.wav,Recording_165.wav
6.9,0.098700956,0.77334595,1.498352,2050.6836368906734,941.0380236449412,2974.151539522059,2721.2067885202114,0.053472131039915966,-468.9656,65.29712,56.938774,16.389992,-2.164696,39.994194,6.8620677,6.4322915,-3.0898468,9.115834,0.69305986,6.3394504,-7.2600937,13.985957,-9.420703,13.984943,4.469878,6.781663,14.093894,16.42575,15.134895,17.95479,6.221805,8.882748,-5.2795153,6.601273,0.40490025,0.33310604,[20.03088663],khean-ss1,dataset\khean-ss1\Recording_166.wav,Recording_166.wav
6.3,0.09491257,0.87005615,1.5153809,1670.38948766469,589.0264751877174,2579.7015279696134,2319.7101399988424,0.051646308126151015,-452.1626,78.99975,89.20055,31.49738,-3.4754844,39.763012,-2.8022952,10.506597,-0.7202722,9.230978,-4.3528376,14.612317,0.02739613,6.18538,-7.1522536,9.046428,-7.398158,10.053289,-0.55601984,4.9894524,-7.1810303,9.050854,-16.544638,18.133389,-11.864567,13.929736,0.423935,0.31569284,[26.50240385],khean-ss1,dataset\khean-ss1\Recording_167.wav,Recording_167.wav
6.4,0.09740104,0.6611023,1.2539062,1680.0459668044791,873.4616403544171,2826.9740892493205,2336.402282487016,0.040696296139039856,-461.54654,78.99462,97.533615,24.075333,-0.66034865,45.080826,4.5049763,9.033199,1.6888133,10.730857,-3.0760725,17.575083,0.49524683,7.8071184,-5.1420774,8.452033,-4.608099,8.854216,-2.910046,7.7486615,-1.5279976,4.8978133,3.6600268,7.2442107,8.890467,14.352625,0.38848856,0.33828068,[25.20960366],khean-ss1,dataset\khean-ss1\Recording_168.wav,Recording_168.wav
6.9,0.07057241,0.48220825,0.8621216,1801.222560044713,546.6652931207433,2676.305721507353,2330.336431786368,0.045588235294117645,-480.7228,74.86949,97.00611,14.616436,-5.6994033,45.228374,4.9434705,13.526467,-2.124284,11.780971,3.0382342,9.716966,-1.9810723,8.287836,-11.343304,12.614441,-5.7352443,8.738548,1.9721184,5.3179736,10.44768,9.058313,11.921462,12.5121355,15.220776,16.904818,0.39013076,0.34826207,[46.98153409],khean-ss1,dataset\khean-ss1\Recording_169.wav,Recording_169.wav
6.4,0.09939201,0.8906555,1.5367737,1808.3421081612848,728.4809714527892,2869.29931640625,2175.3374044455018,0.05249642634737319,-428.33096,108.77582,117.20946,38.504852,-41.75941,63.373863,-21.147705,20.78978,-2.0143547,11.335032,-0.67780447,11.016985,1.3546009,5.017551,-15.888049,14.619259,-17.31453,18.867159,-11.360348,14.767016,-11.767272,12.64759,-12.210998,11.375865,-6.432501,7.3258376,0.46624243,0.30736884,[92.28515625],khean-ss1,dataset\khean-ss1\Recording_170.wav,Recording_170.wav
7.6,0.08875545,0.85092163,1.6074524,1829.1743153874115,785.319557932299,2915.792953840649,2417.5833243665106,0.045148497137404583,-440.92032,125.81444,121.4562,46.629818,-28.645267,68.78464,-19.871786,25.762123,-10.572376,19.767551,-9.938799,24.049871,-6.520291,11.399125,-13.524615,15.197591,-5.3170815,8.584542,-0.06896278,5.04033,-5.037999,7.485387,-2.7834697,7.8941803,-0.23257595,7.8724866,0.5082175,0.29080138,[99.38401442],khean-ss1,dataset\khean-ss1\Recording_171.wav,Recording_171.wav
7.4,0.08653003,0.8423462,1.5348206,1895.5423297200061,827.2341059568264,2916.837743681426,2564.3579526294648,0.045968847962382445,-449.35696,124.388664,116.00142,43.873615,-23.378113,62.24959,-14.508818,17.976667,-3.4440613,11.594237,-5.400272,17.266098,-11.886688,17.534632,-18.811773,21.427198,-17.787443,22.129316,-9.476183,14.301807,4.1554356,7.378208,5.2507186,8.361883,3.0580778,6.592157,0.5134115,0.28545344,[78.30255682],khean-ss1,dataset\khean-ss1\Recording_172.wav,Recording_172.wav
7.7,0.0776976,0.8675537,1.6342163,1916.1736024802337,791.9781644567239,3122.152305511107,2424.9179618445323,0.049577460231551206,-438.12762,131.24052,133.41467,48.81419,-31.389399,64.230675,-20.23483,21.548985,-4.6068726,12.79859,-7.9131947,20.233788,-16.495394,20.355135,-20.480953,21.299147,-14.960037,17.147902,-9.375573,12.392768,2.7446506,5.598422,2.9315913,6.6934047,-1.0214751,4.0971723,0.52177155,0.27828273,[215.33203125],khean-ss1,dataset\khean-ss1\Recording_173.wav,Recording_173.wav
7.5,0.08417611,0.8537903,1.7019653,1837.2930235498764,789.5194954920188,3008.38180872678,2140.5552986976045,0.05652195602747678,-423.87332,122.249626,143.37111,51.671402,-39.467022,63.029247,-29.321672,26.270708,-3.081018,9.964045,-15.031655,22.446754,-24.06775,22.967945,-24.312077,21.303514,-16.89048,17.246536,-10.013775,11.086886,-2.5592859,7.278886,-0.5374073,4.680594,3.4418585,5.8756657,0.47025207,0.28282216,[86.1328125],khean-ss1,dataset\khean-ss1\Recording_174.wav,Recording_174.wav
8.0,0.08175181,0.944397,1.6262817,1602.0073688900163,606.4556292810175,2649.3017578125,2042.7783539535856,0.04064269134963768,-435.48776,100.789764,139.21413,49.055977,-21.381245,50.32934,-25.755144,25.127329,3.7435026,7.4543595,-7.165934,18.353296,-17.629797,20.342012,-18.407955,18.007017,-13.4793,15.476865,-6.9932766,11.597133,-5.1582456,8.36958,-4.0604796,6.9752517,4.1018906,8.425363,0.46693575,0.30998555,[103.359375],khean-ss1,dataset\khean-ss1\Recording_175.wav,Recording_175.wav
7.2,0.08981965,0.727417,1.3327332,1637.3051338477608,637.8687643294687,2662.3499773550725,1880.3079279403505,0.043642593850644125,-413.53644,99.692566,140.06102,39.05139,-39.146294,56.45446,-20.460382,19.563456,4.397541,9.543965,-8.209529,19.693787,-15.038379,17.815613,-19.654411,19.011011,-13.8058,17.084194,-2.8343594,12.071929,11.320995,11.386506,20.249615,18.22048,14.2826185,15.445596,0.40605146,0.34519506,[172.265625],khean-ss1,dataset\khean-ss1\Recording_176.wav,Recording_176.wav
